Gender , Area ,Faculty,College_Location ,father_edu,mother_edu,father_occ,mother_occ,income,attendance,lecture_attendance,assignment_submit,teacher_help,study_hours,study_management,study_method,Percentage,internal_performance,Backlogs,internet_access,online_platforms_usage,responsibilities_affect_study,Challenge_1,Challenge_2,Challenge_3,Challenge_4,Challenge_5,Challenge_6,Challenge_Score,distraction,parent_support,Motivation_1,Motivation_2,Motivation_3,Motivation_4,Motivation_5,Motivation_6,Motivation_Score ,Stress,family_pressure,Sleep_Hours,support_needed
0,0,Arts,1,3,2,Farmer,Business,2,2,3,4,4,4,3, Self-study Online tutorials,74,1,0,0,4,2,1,2,3,4,2,1,13," Mobile / TV / Laptop   Friends  Family responsibilities  Lack of interest  Social media (WhatsApp, Instagram, etc.)  Health issues ",1,1,2,1,1,1,2,8,3,2,2, Personal counselling  Study materials  Time management tips  Group study discussions  Career guidance 
0,1,Science,1,4,4,Business,Business,1,2,2,4,3,2,2, Self-study Online tutorials,87,2,0,4,4,2,1,2,1,1,1,2,8, Mobile / TV / Laptop   Family responsibilities ,1,2,1,3,1,1,0,8,2,2,3, Time management tips 
0,0,Commerce,1,2,2,Farmer,Farmer,1,2,2,4,3,2,3, Note-taking Online tutorials,60,2,1,4,4,3,1,1,4,1,2,0,9," Mobile / TV / Laptop   Friends  Social media (WhatsApp, Instagram, etc.) ",1,4,4,4,1,1,4,18,2,1,3, Personal counselling  Study materials  Time management tips  Career guidance  More interactive teaching 
0,1,Arts,1,4,4,Business,Government employee,1,3,4,4,4,4,4, Self-study,91,3,0,4,2,1,0,0,1,0,0,0,1," Social media (WhatsApp, Instagram, etc.) ",1,2,2,2,2,2,2,12,2,1,3, Career guidance 
0,0,Science,1,3,4,Farmer,Unemployed (not currently working),1,3,3,4,3,3,3, Note-taking,60,2,1,0,2,1,1,0,1,1,1,3,7, Mobile / TV / Laptop   Friends ,1,3,3,4,3,3,1,17,2,2,1, Extra classes 
0,1,Commerce,1,4,4,Private sector job,Unemployed (not currently working),1,3,4,4,4,3,4, Note-taking Self-study,78,4,0,2,4,5,0,0,0,0,0,0,0, Mobile / TV / Laptop  ,1,4,4,4,4,4,4,24,1,1,3, Career guidance 
0,1,Science,1,3,3,Farmer,Farmer,1,3,3,4,4,4,4, Self-study,61,2,0,3,4,1,0,0,0,1,1,0,2, Mobile / TV / Laptop   Health issues ,1,4,3,4,3,3,0,17,2,1,3, Time management tips  Career guidance 
0,0,Science,1,3,2,Private sector job,Farmer,1,1,4,4,2,2,4, Self-study,72,1,0,3,4,2,2,2,1,3,1,1,10," Social media (WhatsApp, Instagram, etc.) ",1,4,4,2,3,4,0,17,4,4,3, Career guidance 
0,0,Science,1,4,2,Private sector job,Unemployed (not currently working),3,3,4,4,3,1,3, Self-study Online tutorials,74.24,2,0,3,3,1,0,1,3,2,2,0,8, Mobile / TV / Laptop  ,1,3,2,1,2,2,3,13,2,2,4, Time management tips  Career guidance 
0,1,Science,1,2,2,Business,Unemployed (not currently working),2,3,4,4,3,1,3, Self-study,61,1,0,3,3,2,1,0,1,2,1,1,6, Mobile / TV / Laptop  ,1,3,3,2,2,2,2,14,2,1,4, Time management tips 
